,sl_cup_glmnet_1.coef,sl_cup_glmnet_1.cvRisk,sl_cup_glmnet_1.times.train.3.
glmnet_0.1_50_TRUE_All,1,2.3257748673542,13.1959999999999
glmnet_0.6_60_TRUE_All,0,2.32895709807534,13.1959999999999
glmnet_0.1_90_TRUE_All,0,2.32985307566833,13.1959999999999
glmnet_0.2_80_TRUE_All,0,2.33015045158938,13.1959999999999
glmnet_0.1_70_TRUE_All,0,2.3301786477624,13.1959999999999
glmnet_0.2_100_TRUE_All,0,2.3302073022212,13.1959999999999
glmnet_0.2_90_TRUE_All,0,2.33077045572833,13.1959999999999
glmnet_0.6_30_TRUE_All,0,2.33126813495804,13.1959999999999
glmnet_0.1_100_TRUE_All,0,2.33139127783525,13.1959999999999
glmnet_0.6_50_TRUE_All,0,2.33147749627265,13.1959999999999
glmnet_0.6_80_TRUE_All,0,2.33148213271783,13.1959999999999
glmnet_0.2_40_TRUE_All,0,2.33155756111881,13.1959999999999
glmnet_0.1_40_TRUE_All,0,2.33159602768865,13.1959999999999
glmnet_0.6_100_TRUE_All,0,2.33161854848725,13.1959999999999
glmnet_1_80_TRUE_All,0,2.33164989836451,13.1959999999999
glmnet_0.2_30_TRUE_All,0,2.33191841330046,13.1959999999999
glmnet_0.2_20_TRUE_All,0,2.33199473969691,13.1959999999999
glmnet_0.2_70_TRUE_All,0,2.33209174738806,13.1959999999999
glmnet_1_90_TRUE_All,0,2.33213706087556,13.1959999999999
glmnet_0.1_80_TRUE_All,0,2.33217714324232,13.1959999999999
glmnet_0.2_10_TRUE_All,0,2.33222048426573,13.1959999999999
glmnet_0.6_70_TRUE_All,0,2.33222456245714,13.1959999999999
glmnet_1_70_TRUE_All,0,2.33223045995039,13.1959999999999
glmnet_0.6_90_TRUE_All,0,2.332263190288,13.1959999999999
glmnet_0.1_60_TRUE_All,0,2.33229300232505,13.1959999999999
glmnet_0.6_20_TRUE_All,0,2.33232652856361,13.1959999999999
glmnet_1_50_TRUE_All,0,2.33235046547169,13.1959999999999
glmnet_0.2_60_TRUE_All,0,2.33243372674928,13.1959999999999
glmnet_1_20_TRUE_All,0,2.33249334170034,13.1959999999999
glmnet_1_40_TRUE_All,0,2.33253555722538,13.1959999999999
glmnet_0.1_10_TRUE_All,0,2.33272067203402,13.1959999999999
glmnet_1_10_TRUE_All,0,2.33307009733563,13.1959999999999
glmnet_0.1_20_TRUE_All,0,2.33310865525346,13.1959999999999
glmnet_0.1_30_TRUE_All,0,2.33310989921827,13.1959999999999
glmnet_0.6_40_TRUE_All,0,2.3332493677539,13.1959999999999
glmnet_1_60_TRUE_All,0,2.33327000373831,13.1959999999999
glmnet_1_100_TRUE_All,0,2.33371010573564,13.1959999999999
glmnet_0.2_50_TRUE_All,0,2.33412473083497,13.1959999999999
glmnet_0.6_10_TRUE_All,0,2.33431043468591,13.1959999999999
glmnet_1_30_TRUE_All,0,2.33438271645922,13.1959999999999
glmnet_0_40_TRUE_All,0,2.35889220412472,13.1959999999999
glmnet_0_50_TRUE_All,0,2.35897165966194,13.1959999999999
glmnet_0_30_TRUE_All,0,2.35917503186239,13.1959999999999
glmnet_0_60_TRUE_All,0,2.35927038110547,13.1959999999999
glmnet_0_70_TRUE_All,0,2.35938586986525,13.1959999999999
glmnet_0_80_TRUE_All,0,2.35949267367063,13.1959999999999
glmnet_0_90_TRUE_All,0,2.35954930406079,13.1959999999999
glmnet_0_100_TRUE_All,0,2.3596027761247,13.1959999999999
glmnet_0_20_TRUE_All,0,2.35974169468333,13.1959999999999
glmnet_0_10_TRUE_All,0,2.36092207792291,13.1959999999999
