"","sl_cup_ranger_1.coef","sl_cup_ranger_1.cvRisk","sl_cup_ranger_1.times.train.3."
"ranger_150_2_All",0,1.09816930592651,414.286
"ranger_250_2_All",0,1.08617440539593,414.286
"ranger_350_2_All",0,1.09827429422961,414.286
"ranger_500_2_All",0,1.08535416932314,414.286
"ranger_750_2_All",0,1.08410491925536,414.286
"ranger_1000_2_All",0.0902434051583268,1.07867136728308,414.286
"ranger_1250_2_All",0,1.08094678066028,414.286
"ranger_1500_2_All",0,1.08825392872127,414.286
"ranger_1750_2_All",0,1.08406121254258,414.286
"ranger_2000_2_All",0.0292182569754579,1.07760195626244,414.286
"ranger_2250_2_All",0,1.08072183300251,414.286
"ranger_2500_2_All",0,1.08139862602393,414.286
"ranger_4000_2_All",0,1.08055768173764,414.286
"ranger_150_3_All",0.070430340747285,1.07952428794419,414.286
"ranger_250_3_All",0,1.09381076584178,414.286
"ranger_350_3_All",0,1.08279515345836,414.286
"ranger_500_3_All",0,1.07231200368112,414.286
"ranger_750_3_All",0,1.07586099182172,414.286
"ranger_1000_3_All",0,1.0715914112016,414.286
"ranger_1250_3_All",0,1.0753290805338,414.286
"ranger_1500_3_All",0,1.07744530831695,414.286
"ranger_1750_3_All",0,1.07678746326858,414.286
"ranger_2000_3_All",0,1.07721176539295,414.286
"ranger_2250_3_All",0,1.07364364275471,414.286
"ranger_2500_3_All",0.81010799711893,1.06740378427236,414.286
"ranger_4000_3_All",0,1.0769552094076,414.286
"ranger_150_4_All",0,1.09755384568092,414.286
"ranger_250_4_All",0,1.10767005438393,414.286
"ranger_350_4_All",0,1.09482146658235,414.286
"ranger_500_4_All",0,1.09385529052171,414.286
"ranger_750_4_All",0,1.09186229000496,414.286
"ranger_1000_4_All",0,1.08875304914276,414.286
"ranger_1250_4_All",0,1.0839211361942,414.286
"ranger_1500_4_All",0,1.09109073992849,414.286
"ranger_1750_4_All",0,1.08968631286146,414.286
"ranger_2000_4_All",0,1.08944798005562,414.286
"ranger_2250_4_All",0,1.08494286726298,414.286
"ranger_2500_4_All",0,1.08602222512031,414.286
"ranger_4000_4_All",0,1.08853641753934,414.286
