"","sl_cup_svm_1.coef","sl_cup_svm_1.cvRisk","sl_cup_svm_1.times.train.3."
"ksvm_rbfdot_0.001_0.001_All",0,32.2586871578273,394.425000000001
"ksvm_rbfdot_0.01_0.001_All",0,32.7381352331298,394.425000000001
"ksvm_rbfdot_0.05_0.001_All",0,32.449500473695,394.425000000001
"ksvm_rbfdot_0.1_0.001_All",0,32.2489136345312,394.425000000001
"ksvm_rbfdot_0.4_0.001_All",0,32.4093226486356,394.425000000001
"ksvm_rbfdot_0.7_0.001_All",0,32.5210062094529,394.425000000001
"ksvm_rbfdot_1_0.001_All",0,32.5277059894503,394.425000000001
"ksvm_rbfdot_3_0.001_All",0,32.4068323208875,394.425000000001
"ksvm_rbfdot_5_0.001_All",0,32.211333274438,394.425000000001
"ksvm_rbfdot_8_0.001_All",0,32.3184321927552,394.425000000001
"ksvm_rbfdot_10_0.001_All",0,32.4441601651214,394.425000000001
"ksvm_rbfdot_0.001_0.01_All",0,4.90079605166932,394.425000000001
"ksvm_rbfdot_0.01_0.01_All",0,4.9384944494577,394.425000000001
"ksvm_rbfdot_0.05_0.01_All",0,4.82262138357644,394.425000000001
"ksvm_rbfdot_0.1_0.01_All",0,4.93478563610938,394.425000000001
"ksvm_rbfdot_0.4_0.01_All",0,4.87249358588789,394.425000000001
"ksvm_rbfdot_0.7_0.01_All",0,4.96219171843699,394.425000000001
"ksvm_rbfdot_1_0.01_All",0,4.80191777001727,394.425000000001
"ksvm_rbfdot_3_0.01_All",0,4.89030618891556,394.425000000001
"ksvm_rbfdot_5_0.01_All",0,4.98107207878039,394.425000000001
"ksvm_rbfdot_8_0.01_All",0,4.8479699682353,394.425000000001
"ksvm_rbfdot_10_0.01_All",0,5.0158177176792,394.425000000001
"ksvm_rbfdot_0.001_0.1_All",0,1.53584584884993,394.425000000001
"ksvm_rbfdot_0.01_0.1_All",0,1.5472218503045,394.425000000001
"ksvm_rbfdot_0.05_0.1_All",0,1.48612642892089,394.425000000001
"ksvm_rbfdot_0.1_0.1_All",0,1.52331553446877,394.425000000001
"ksvm_rbfdot_0.4_0.1_All",0,1.50490741360474,394.425000000001
"ksvm_rbfdot_0.7_0.1_All",0,1.4967552292982,394.425000000001
"ksvm_rbfdot_1_0.1_All",0,1.51812723230578,394.425000000001
"ksvm_rbfdot_3_0.1_All",0,1.49661312563054,394.425000000001
"ksvm_rbfdot_5_0.1_All",0,1.51849661391334,394.425000000001
"ksvm_rbfdot_8_0.1_All",0,1.5414813034004,394.425000000001
"ksvm_rbfdot_10_0.1_All",0,1.52826994551099,394.425000000001
"ksvm_rbfdot_0.001_1_All",0,1.1597003721179,394.425000000001
"ksvm_rbfdot_0.01_1_All",0,1.15935660613755,394.425000000001
"ksvm_rbfdot_0.05_1_All",0,1.15685993380019,394.425000000001
"ksvm_rbfdot_0.1_1_All",0,1.16329618988274,394.425000000001
"ksvm_rbfdot_0.4_1_All",0.47586068438168,1.15532211673547,394.425000000001
"ksvm_rbfdot_0.7_1_All",0,1.15695056777412,394.425000000001
"ksvm_rbfdot_1_1_All",0,1.15862722922331,394.425000000001
"ksvm_rbfdot_3_1_All",0,1.16693683305682,394.425000000001
"ksvm_rbfdot_5_1_All",0,1.16000558919511,394.425000000001
"ksvm_rbfdot_8_1_All",0,1.16420605096126,394.425000000001
"ksvm_rbfdot_10_1_All",0.291984254654474,1.1556601282317,394.425000000001
"ksvm_rbfdot_0.001_10_All",0,1.31163902701134,394.425000000001
"ksvm_rbfdot_0.01_10_All",0,1.28257111441985,394.425000000001
"ksvm_rbfdot_0.05_10_All",0.199739928446667,1.26556905294759,394.425000000001
"ksvm_rbfdot_0.1_10_All",0,1.30235779461851,394.425000000001
"ksvm_rbfdot_0.4_10_All",0,1.29888129403109,394.425000000001
"ksvm_rbfdot_0.7_10_All",0,1.30414627793857,394.425000000001
"ksvm_rbfdot_1_10_All",0,1.28513205155243,394.425000000001
"ksvm_rbfdot_3_10_All",0,1.28841394795357,394.425000000001
"ksvm_rbfdot_5_10_All",0,1.29658125562991,394.425000000001
"ksvm_rbfdot_8_10_All",0,1.27300129075065,394.425000000001
"ksvm_rbfdot_10_10_All",0,1.28354156373229,394.425000000001
"ksvm_rbfdot_0.001_100_All",0,2.03439645132232,394.425000000001
"ksvm_rbfdot_0.01_100_All",0,2.06163901680012,394.425000000001
"ksvm_rbfdot_0.05_100_All",0,2.06677057032265,394.425000000001
"ksvm_rbfdot_0.1_100_All",0,2.06907544953123,394.425000000001
"ksvm_rbfdot_0.4_100_All",0,2.0488903725083,394.425000000001
"ksvm_rbfdot_0.7_100_All",0,2.04142071752167,394.425000000001
"ksvm_rbfdot_1_100_All",0,2.0210397383042,394.425000000001
"ksvm_rbfdot_3_100_All",0,2.05083737997154,394.425000000001
"ksvm_rbfdot_5_100_All",0,2.04281571584938,394.425000000001
"ksvm_rbfdot_8_100_All",0,2.03233228081946,394.425000000001
"ksvm_rbfdot_10_100_All",0,2.06489151559907,394.425000000001
"ksvm_rbfdot_0.001_1000_All",0,3.07666069695247,394.425000000001
"ksvm_rbfdot_0.01_1000_All",0,3.21186583762493,394.425000000001
"ksvm_rbfdot_0.05_1000_All",0,3.0932470251697,394.425000000001
"ksvm_rbfdot_0.1_1000_All",0,3.1871420109582,394.425000000001
"ksvm_rbfdot_0.4_1000_All",0,3.13252199248846,394.425000000001
"ksvm_rbfdot_0.7_1000_All",0,3.15225168235792,394.425000000001
"ksvm_rbfdot_1_1000_All",0.0324151325171788,3.16513950761619,394.425000000001
"ksvm_rbfdot_3_1000_All",0,3.10653050663536,394.425000000001
"ksvm_rbfdot_5_1000_All",0,3.04755515369922,394.425000000001
"ksvm_rbfdot_8_1000_All",0,3.16336737100618,394.425000000001
"ksvm_rbfdot_10_1000_All",0,3.10060703450468,394.425000000001
